Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
45;infrastructure;NITAP-Electrical(EEE);2C:C5:D3:86:BF:E9;;1;No;OPN,None;No;54.0;0;13;0;0;0;0;0;;;Tue Sep  4 16:01:07 2018;Tue Sep  4 16:01:19 2018;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
46;infrastructure;NITAP-Civil;2C:C5:D3:46:BF:EA;;1;No;OPN,None;No;54.0;0;16;0;0;0;0;0;;;Tue Sep  4 16:01:07 2018;Tue Sep  4 16:01:19 2018;-68;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
47;infrastructure;NITAP-Chemical;2C:C5:D3:86:BF:EA;;1;No;OPN,None;No;54.0;0;14;0;0;0;0;0;;;Tue Sep  4 16:01:07 2018;Tue Sep  4 16:01:19 2018;-68;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
48;infrastructure;NITAP-2017- E & F;2C:C5:D3:86:BF:E0;;1;No;OPN,None;No;54.0;0;13;0;0;0;0;0;;;Tue Sep  4 16:01:07 2018;Tue Sep  4 16:01:18 2018;-68;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
49;infrastructure;FACULTY;2C:C5:D3:C6:BF:EB;;1;No;OPN,None;No;54.0;0;15;0;1;0;0;1;;;Tue Sep  4 16:01:07 2018;Tue Sep  4 16:01:19 2018;-68;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
50;infrastructure;NITAP-2017- G;2C:C5:D3:C6:BF:E0;;1;No;OPN,None;No;54.0;0;13;0;0;0;0;0;;;Tue Sep  4 16:01:07 2018;Tue Sep  4 16:01:19 2018;-68;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
51;infrastructure;NIT ANDHRA;38:FF:36:8E:D7:A1;;7;No;WPA2,AES-CCM;No;54.0;0;17;0;16;0;0;16;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:19 2018;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
52;infrastructure;NITAP-2016-One;38:FF:36:CE:D7:A8;;7;No;OPN,None;No;54.0;0;14;0;134;0;0;134;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:19 2018;-67;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;172.30.3.227;
53;infrastructure;Faculty-Mobile;38:FF:36:0E:D7:A2;;7;No;OPN,None;No;54.0;0;13;0;0;0;0;0;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:19 2018;-68;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
54;infrastructure;NITAP-Mechanical;38:FF:36:4E:D7:A9;;7;No;OPN,None;No;54.0;0;15;0;0;0;0;0;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:19 2018;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
55;infrastructure;NITAP-Electrical(EEE);38:FF:36:8E:D7:A9;;7;No;OPN,None;No;54.0;0;15;0;14;0;0;14;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:19 2018;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;172.30.0.1;
56;infrastructure;NITAP-Chemical;38:FF:36:8E:D7:AA;;7;No;OPN,None;No;54.0;0;17;0;0;0;0;0;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:19 2018;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
57;infrastructure;NITAP-BIO_Technology;38:FF:36:CE:D7:AA;;7;No;OPN,None;No;54.0;0;16;0;0;0;0;0;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:19 2018;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
58;infrastructure;FACULTY;38:FF:36:CE:D7:AB;;7;No;OPN,None;No;54.0;0;15;0;0;0;0;0;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:19 2018;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
59;infrastructure;NITAP-2016-Three;38:FF:36:8E:D7:AB;;7;No;OPN,None;No;54.0;0;17;0;0;0;0;0;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:19 2018;-68;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
60;infrastructure;NITAP-Faculty;2C:C5:D3:46:BF:E8;;1;No;OPN,None;No;54.0;0;10;0;2;0;0;2;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:19 2018;-67;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;172.20.10.140;
61;infrastructure;NITAP-BIO_Technology;2C:C5:D3:C6:BF:EA;;1;No;OPN,None;No;54.0;0;16;0;0;0;0;0;;;Tue Sep  4 16:01:07 2018;Tue Sep  4 16:01:18 2018;-67;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
62;infrastructure;Faculty-Laptop;2C:C5:D3:46:BF:E2;;1;No;OPN,None;No;54.0;0;12;0;0;0;0;0;;;Tue Sep  4 16:01:07 2018;Tue Sep  4 16:01:19 2018;-67;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
63;infrastructure;Faculty-Mobile;2C:C5:D3:06:BF:E2;;1;No;OPN,None;No;54.0;0;16;0;0;0;0;0;;;Tue Sep  4 16:01:07 2018;Tue Sep  4 16:01:19 2018;-68;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
64;infrastructure;NIT;2C:C5:D3:C6:BF:E1;;1;No;WPA2,AES-CCM;No;54.0;0;12;0;0;0;0;0;;;Tue Sep  4 16:01:07 2018;Tue Sep  4 16:01:19 2018;-67;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
65;infrastructure;NIT ANDHRA;2C:C5:D3:86:BF:E1;;1;No;WPA2,AES-CCM;No;54.0;0;13;0;4;0;0;4;;;Tue Sep  4 16:01:07 2018;Tue Sep  4 16:01:18 2018;-67;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
66;infrastructure;NITAP-2016-Two;2C:C5:D3:06:BF:EB;;1;No;OPN,None;No;54.0;0;13;0;0;0;0;0;;;Tue Sep  4 16:01:07 2018;Tue Sep  4 16:01:19 2018;-68;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
67;infrastructure;NITAP-Civil;38:FF:36:4E:D7:AA;;7;No;OPN,None;No;54.0;0;16;0;50;0;0;50;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:19 2018;-67;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;172.30.5.197;
68;infrastructure;NITAP-Metulargy;38:FF:36:0E:D7:A9;;7;No;OPN,None;No;54.0;0;12;0;0;0;0;0;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:19 2018;-67;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
69;infrastructure;NITAP-2017- G;38:FF:36:CE:D7:A0;;7;No;OPN,None;No;54.0;0;13;0;0;0;0;0;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:19 2018;-67;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
70;infrastructure;NITAP-DIRECTOR;38:FF:36:8E:D7:A8;;7;No;WPA2,AES-CCM;No;54.0;0;17;0;0;0;0;0;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:19 2018;-66;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
71;infrastructure;Faculty-Laptop;38:FF:36:4E:D7:A2;;7;No;OPN,None;No;54.0;0;16;0;0;0;0;0;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:19 2018;-68;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
72;infrastructure;GUEST-FACULTY;38:FF:36:4E:D7:AB;;7;No;WPA2,AES-CCM;No;54.0;0;18;0;258;0;0;258;;;Tue Sep  4 16:01:08 2018;Tue Sep  4 16:01:19 2018;-68;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
73;infrastructure;NITAP-Electronics(ECE);2C:C5:D3:C6:BF:E9;;1;No;OPN,None;No;54.0;0;17;0;57;0;0;57;;;Tue Sep  4 16:01:07 2018;Tue Sep  4 16:01:19 2018;-67;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;10.30.4.32;
74;infrastructure;NITAP-2017- A & B;2C:C5:D3:06:BF:E0;;1;No;OPN,None;No;54.0;0;13;0;0;0;0;0;;;Tue Sep  4 16:01:07 2018;Tue Sep  4 16:01:19 2018;-67;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
